"_path","_id","sessionId","type","timestamp","clientTimestamp","timeElapsedSeconds","readableTime","semesterTime","taskId","from","to","isAutoAdvance","completed","leftForTask","timeSpentSeconds","attempts","accuracy","userAnswer","correctAnswer","points","pointsEarned","categoryPoints","studentLearningScore","engagementInterest","completionContext","totalTimeSeconds","0","1","2","3","4","5","taskType","reason","studentId","section","6","7","currentMode","semester","hasCheckpoint","action","response","currentTask","totalSwitches","completedTasks","completedLevels","completionReason","gameMode","currentSemester","totalBonus","finalScore","finalContext","practiceCompleted","totalSemesters","isAdminMode","choice"
"events/1zFDXUBm3Vs3gtMvRzev","1zFDXUBm3Vs3gtMvRzev","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:55:37.343Z",1756479337343,907.5,"15:07","{""elapsedSeconds"":907.5,""readable"":""15:07"",""minutes"":15,""seconds"":7}",,"g3t5","g2t9",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/23OWrD21Wmj90HArK4nK","23OWrD21Wmj90HArK4nK","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:43:14.826Z",1756478594826,165,"2:44","{""elapsedSeconds"":165,""readable"":""2:44"",""minutes"":2,""seconds"":44}","g1t4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/27DmmHsYIkSZdj9ZjJV6","27DmmHsYIkSZdj9ZjJV6","3JNmRl43SrpAGSlPV49M","ai_task_help","2025-08-29T14:47:49.205Z",1756478869205,439.4,"7:19","{""elapsedSeconds"":439.4,""readable"":""7:19"",""minutes"":7,""seconds"":19}",,,,,,,,,,,,,,,,,,,"s","l","i","d","e","r","g2t23",,,,,,,,,,,,,,,,,,,,,,,,
"events/27yNZwTQVhlYMk6HvvgD","27yNZwTQVhlYMk6HvvgD","3JNmRl43SrpAGSlPV49M","ai_task_help","2025-08-29T14:47:52.837Z",1756478872837,443,"7:22","{""elapsedSeconds"":443,""readable"":""7:22"",""minutes"":7,""seconds"":22}",,,,,,,,,,,,,,,,,,,"s","l","i","d","e","r","g2t24",,,,,,,,,,,,,,,,,,,,,,,,
"events/2HKJzXDpz3DDT827g46T","2HKJzXDpz3DDT827g46T","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:41:49.187Z",1756478509187,79.3,"1:19","{""elapsedSeconds"":79.3,""readable"":""1:19"",""minutes"":1,""seconds"":19}","g3t1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/2Hmwz6fFEukBwgjGXksi","2Hmwz6fFEukBwgjGXksi","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:44:45.213Z",1756478685213,255.4,"4:15","{""elapsedSeconds"":255.4,""readable"":""4:15"",""minutes"":4,""seconds"":15}","g3t8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/2O8jtQnuURp7EfmLEqGZ","2O8jtQnuURp7EfmLEqGZ","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:41:41.980Z",1756478501980,72.1,"1:12","{""elapsedSeconds"":72.1,""readable"":""1:12"",""minutes"":1,""seconds"":12}","g1t1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/2PpW6TJE7oi7Bp5GCmR8","2PpW6TJE7oi7Bp5GCmR8","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:57:49.202Z",1756479469202,1039.4,"17:19","{""elapsedSeconds"":1039.4,""readable"":""17:19"",""minutes"":17,""seconds"":19}","g3t15",,,,false,"g3t16","7.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/2TIpFp9eicP7lrbPPa1h","2TIpFp9eicP7lrbPPa1h","3JNmRl43SrpAGSlPV49M","manual_tab_switch","2025-08-29T14:59:33.294Z",1756479573294,1143.4,"19:03","{""elapsedSeconds"":1143.4,""readable"":""19:03"",""minutes"":19,""seconds"":3}",,"g3t19","g2t25",,,,,,,,,,,,,,,,,,,,,,,"user_clicked",,,,,,,,,,,,,,,,,,,,,,,
"events/2m2FHXebTmmgjnp14qDl","2m2FHXebTmmgjnp14qDl","3JNmRl43SrpAGSlPV49M","manual_tab_switch","2025-08-29T14:55:24.326Z",1756479324326,894.5,"14:54","{""elapsedSeconds"":894.5,""readable"":""14:54"",""minutes"":14,""seconds"":54}",,"g1t2","g2t7",,,,,,,,,,,,,,,,,,,,,,,"user_clicked",,,,,,,,,,,,,,,,,,,,,,,
"events/2nqxgvavUT6frhpVItFf","2nqxgvavUT6frhpVItFf","3JNmRl43SrpAGSlPV49M","ai_task_help","2025-08-29T14:44:37.267Z",1756478677267,247.4,"4:07","{""elapsedSeconds"":247.4,""readable"":""4:07"",""minutes"":4,""seconds"":7}",,,,,,,,,,,,,,,,,,,"t","y","p","i","n","g","g3t8",,,,,,,,,,,,,,,,,,,,,,,,
"events/2okAD3UvHGiT4No0cxUB","2okAD3UvHGiT4No0cxUB","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:52:19.575Z",1756479139575,709.7,"11:49","{""elapsedSeconds"":709.7,""readable"":""11:49"",""minutes"":11,""seconds"":49}",,"g2t47","g2t48",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/2pt8zh6vSYDiO9UKa39c","2pt8zh6vSYDiO9UKa39c","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:44:35.041Z",1756478675041,245.2,"4:05","{""elapsedSeconds"":245.2,""readable"":""4:05"",""minutes"":4,""seconds"":5}","g1t13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
